Applicant_ID,Age,MonthlyIncome,EmploymentYears,CreditScore,LoanAmount,Gender,State,Approved
A001,35,350000,5,720,5000000,Male,Lagos,1
A002,28,180000,2,650,2000000,Female,Abuja,0
A003,45,620000,15,780,8000000,Male,Rivers,1
A004,31,220000,3,580,3000000,Female,Lagos,0
A005,52,450000,20,710,6000000,Male,Oyo,1
A006,26,150000,1,520,1500000,Female,Abuja,0
A007,38,380000,8,690,4500000,Male,Lagos,1
A008,29,190000,2,610,2200000,Female,Plateau,0
A009,41,410000,12,740,5500000,Male,Kano,1
A010,33,240000,4,590,2800000,Female,Lagos,0
A011,47,480000,18,760,7000000,Male,Abuja,1
A012,27,160000,1,540,1800000,Female,Lagos,0
A013,36,320000,6,680,4000000,Male,Rivers,1
A014,30,210000,3,570,2500000,Female,Abuja,0
A015,44,390000,10,730,5000000,Male,Lagos,1
