Startup_Name,City,Founding_Year,Industry,Funding_USD,Employees,Active
Paystack,Lagos,2015,Fintech,200000000,300,1
Flutterwave,Lagos,2016,Fintech,250000000,500,1
Andela,Lagos,2014,Edtech,180000000,1500,1
Kuda,Lagos,2019,Fintech,90000000,450,1
Farmcrowdy,Lagos,2016,Agritech,1500000,85,1
Helium Health,Lagos,2016,Healthtech,12000000,200,1
54Gene,Lagos,2019,Healthtech,45000000,150,1
BuyCoins,Lagos,2017,Fintech,500000,25,1
ThankU Cash,Lagos,2018,Fintech,3000000,40,1
LifeBank,Lagos,2016,Healthtech,2500000,65,1
TechAdvance,Lagos,2009,Fintech,5000000,120,1
TalentQL,Lagos,2020,HRTech,1500000,35,1
EazyFarm,Abuja,2018,Agritech,800000,28,1
Spleet,Abuja,2018,Proptech,1200000,18,1
VeggieVictory,Lagos,2013,Agritech,2000000,45,1
